velocity,ultrasonic,tof,rate_of_change,label
0.74,33.97,92,-0.032,1
0.72,34.18,95,0.042,1
0.78,34.35,93,0.034,1
0.81,34.52,95,0.034,1
0.8,34.49,92,-0.006,1
0.79,34.63,95,0.028,1
0.79,34.68,91,0.01,1
0.84,34.49,95,-0.038,1
0.82,34.92,91,0.086,1
0.82,34.33,95,-0.118,1
0.81,34.3,95,-0.006,1
0.8,34.23,94,-0.014,1
0.77,34.16,90,-0.014,1
0.72,34.59,95,0.086,1
0.74,34.51,95,-0.016,1
0.75,34.47,96,-0.008,1
0.79,34.2,97,-0.054,1
0.8,34.61,96,0.082,1
0.8,34.27,94,-0.068,1
0.81,34.25,94,-0.004,1
0.82,34.44,94,0.038,1
0.85,34.23,96,-0.042,1
0.82,34.3,94,0.014,1
0.84,34.64,94,0.068,1
0.82,34.39,92,-0.05,1
0.79,34.76,94,0.074,1
0.73,33.75,95,-0.202,1
0.71,22.81,98,-2.188,1
0.7,33.89,98,2.216,1
0.67,32.84,93,-0.21,1
0.66,32.43,93,-0.082,1
0.64,32.45,89,0.004,1
0.64,32.33,91,-0.024,1
0.63,32.62,95,0.058,1
0.66,32.41,93,-0.042,1
0.65,32.19,93,-0.044,1
0.67,31.74,91,-0.09,1
0.67,32.17,94,0.086,1
0.66,32.19,94,0.004,1
0.65,32.17,94,-0.004,1
0.66,32.36,93,0.038,1
0.64,31.61,92,-0.15,1
0.69,32.09,93,0.096,1
0.76,32.33,94,0.048,1
0.75,31.44,90,-0.178,1
0.8,31.52,89,0.016,1
0.86,31.13,90,-0.078,1
0.86,31.3,94,0.034,1
0.84,31.35,90,0.01,1
0.86,31.59,95,0.048,1
0.87,31.3,93,-0.058,1
0.9,31.21,92,-0.018,1
0.85,31.28,95,0.014,1
0.76,31.33,93,0.01,1
0.74,31.26,91,-0.014,1
0.69,31.23,96,-0.006,1
0.66,31.13,95,-0.02,1
0.71,31.32,98,0.038,1
0.77,30.92,94,-0.08,1
0.81,31.71,93,0.158,1
0.84,32.14,93,0.086,1
0.85,32.36,94,0.044,1
0.84,32.34,95,-0.004,1
0.85,31.71,95,-0.126,1
0.83,31.68,94,-0.006,1
0.86,32.09,100,0.082,1
0.86,31.64,99,-0.09,1
0.78,31.56,95,-0.016,1
0.75,30.89,96,-0.134,1
0.71,31.52,97,0.126,1
0.68,30.94,96,-0.116,1
0.67,30.96,95,0.004,1
0.7,30.7,94,-0.052,1
0.71,30.77,96,0.014,1
0.72,30.6,98,-0.034,1
0.73,30.7,97,0.02,1
0.7,31.14,91,0.088,1
0.73,30.03,96,-0.222,1
0.72,29.93,97,-0.02,1
0.73,29.62,94,-0.062,1
0.71,29.58,94,-0.008,1
0.72,29.48,95,-0.02,1
0.73,30.13,99,0.13,1
0.72,29.46,95,-0.134,1
0.75,29.5,97,0.008,1
0.74,29.14,98,-0.072,1
0.78,29.28,97,0.028,1
0.75,28.66,96,-0.124,1
0.74,28.78,93,0.024,1
0.72,28.54,100,-0.048,1
0.75,28.31,96,-0.046,1
0.78,28.31,97,0,1
0.74,28.35,96,0.008,1
0.73,28.07,94,-0.056,1
0.7,28.93,94,0.172,1
0.71,28.31,96,-0.124,1
0.69,28.59,99,0.056,1
0.68,28.47,95,-0.024,1
0.69,28.14,98,-0.066,1
0.68,27.99,97,-0.03,1
0.69,28.13,99,0.028,1
0.64,27.32,98,-0.162,1
0.68,28.21,95,0.178,1
0.7,26.89,93,-0.264,1
0.71,27.8,95,0.182,1
0.68,27.32,97,-0.096,1
0.67,26.81,94,-0.102,1
0.67,27.18,95,0.074,1
0.68,26.48,100,-0.14,1
0.72,27.06,97,0.116,1
0.7,26.46,96,-0.12,1
