velocity,ultrasonic,tof,rate_of_change,label
0.86,20,53.89,0,2
0.83,20,46.62,0,2
0.84,20,36.15,0,2
0.85,20,28.9,0,2
0.81,20,18,0,4
0.8,20,18,0,4
0.84,20,18,0,4
0.82,20,18,0,4
0.82,20,18,0,4
0.8,20,18,0,4
0.81,20,18,0,4
0.7,20,95.13,0,2
0.72,20,91.4,0,2
0.74,20,86.54,0,2
0.76,20,85.06,0,2
0.79,20,77.51,0,2
0.77,20,73.26,0,2
0.74,20,68.32,0,2
0.77,20,66.85,0,2
0.74,20,62.76,0,2
0.7,20,58.14,0,2
0.7,20,53.58,0,2
0.7,20,51.66,0,2
0.69,20,44.22,0,2
0.66,20,41.82,0,2
0.69,20,38.96,0,2
0.66,20,35.28,0,2
0.69,20,29.74,0,2
0.68,20,27.23,0,2
0.72,20,18,0,4
0.7,20,18,0,4
0.7,20,18,0,4
0.73,20,18,0,4
0.74,20,18,0,4
0.72,20,18,0,4
0.74,20,18,0,4
0.57,20,95.43,0,2
0.63,20,93.41,0,2
0.64,20,90.9,0,2
0.64,20,85.77,0,2
0.62,20,86.99,0,2
0.59,20,84.97,0,2
0.63,20,82.57,0,2
0.61,20,82.58,0,2
0.59,20,77.81,0,2
0.59,20,77.85,0,2
0.58,20,74.09,0,2
0.57,20,72.81,0,2
0.54,20,69.82,0,2
0.5,20,68.17,0,2
0.54,20,66.97,0,2
0.53,20,64.59,0,2
0.53,20,60.86,0,2
0.54,20,60.12,0,2
0.57,20,58.31,0,2
0.59,20,58.74,0,2
0.6,20,54.75,0,2
0.61,20,50.11,0,2
0.67,20,50.46,0,2
0.64,20,48.13,0,2
0.61,20,46.29,0,2
0.64,20,45.68,0,2
0.6,20,43.23,0,2
0.57,20,41.93,0,2
0.63,20,38.93,0,2
0.56,20,35.01,0,2
0.54,20,34.29,0,2
0.54,20,30.28,0,2
0.54,20,28.84,0,2
0.56,20,26.98,0,2
0.53,20,25.12,0,2
0.52,20,25,0,2
0.58,20,18,0,4
0.6,20,18,0,4
0.56,20,18,0,4
0.58,20,18,0,4
0.58,20,18,0,4
0.59,20,18,0,4
0.56,20,18,0,4
